"company_id","genre","company","name_eng"
267,"company","แมเนจเมนท์ จำกัด",NULL
268,"company","แมกโนเลีย ไฟน์เนสท์ คอร์ปอเรชั่น จำกัด",NULL
270,"company","แม็กซ์เซอร์วิส แอนด์ แมเนจเม้นท์ จำกัด",NULL
271,"company","แม็กซิมบิลด์ จำกัด",NULL
272,"company","แม็กม่าคอนสตรัคชั่นซัพพลาย จำกัด",NULL
273,"company","แสงวิไล แลนด์ จำกัด",NULL
274,"company","แอ๊ก ซีเคียวริตี้ การ์ด จำกัด",NULL
275,"company","แอซเซ็ท คอนเนคชั่น จำกัด",NULL
277,"company","แอดวานซ์ แมเนจเม้นท์ เซอร์วิส จำกัด",NULL
278,"company","แอนด์ แอคเค้าท์ติ้ง จำกัด",NULL
279,"company","แอบบิลิตี้ พร็อพเพอร์ตี้ จำกัด",NULL
280,"company","แอมบิลเลี่ยน กรุ๊ป จำกัด",NULL
282,"company","แอล.แอล.ซี กรุงเทพ จำกัด",NULL
283,"company","แอลพี โก จำกัด",NULL
284,"company","แอสเสท อินเตอร์ แมเนจเมนท์ จำกัด",NULL
285,"company","แฮปปี้ โซไซตี้ จำกัด",NULL
286,"company","โก๊ธซัคเซส แมเนจเม้นท์ จำกัด",NULL
287,"company","โก๊ธซัดคเซส แมเนจเม้นท์ จำกัด",NULL
288,"company","โกร๊ธซัคเซสแมเนจเม้นท์ จำกัด",NULL
353,"company","ไอ.จี.เอส. จำกัด",NULL
289,"company","โกรว พรอพเพอร์ตี้ จำกัด",NULL
290,"company","โกล ลิฟวิ่ง พร็อพเพอร์ตี้ จำกัด",NULL
291,"company","โกลเด้น ดีเวลล๊อปเม้นท์ จำกัด",NULL
292,"company","โครงการ สวิฟท์ คอนโด",NULL
293,"company","โชคทรัพย์ โลจิสติกส์ จำกัด",NULL
294,"company","โชคพลัส จำกัด",NULL
295,"company","โซดิก (ประเทศไทย) จำกัด",NULL
296,"company","โทเทิ่ล พร็อพเพอร์ตี้ โซลูชั่น จำกัด",NULL
297,"company","โนเวล พร็อพเพอร์ตี้ แมนเนจเม้นท์ จำกัด",NULL
298,"company","โบ๊เบ๊ทาวเวอร์ จำกัด",NULL
299,"company","โบ๊ทเฮ้าส์ หัวหิน จำกัด",NULL
300,"company","โบ๊ทเฮ้าหัวหิน จำกัด",NULL
301,"company","โปรเกรส กฎหมาย และการบัญชี จำกัด",NULL
302,"company","โพแมค ควอลิตี้ แมเนจเม้นท์ จำกัด",NULL
303,"company","โพแมค ควอลิตี้ แมนเนจเม้นท์ จำกัด",NULL
304,"company","โพธิ์ทอง (2005) จำกัด",NULL
305,"company","โฟคัส ดีเวลลอปเม้นท์ แอนด์ คอนสตรัคชั่น จำกัด(มหาชน)",NULL
306,"company","โมเดอร์น พร็อพเพอร์ตี้ แมเนจเมนท์ จำกัด",NULL
307,"company","โมบิลไซน์ เซ็นเตอร์ จำกัด",NULL
308,"company","โรงเรียนนานาชาติ เอไอเอสบี รามอินทรา",NULL
309,"company","โรงเรียนบุญญวิทยาคาร",NULL
310,"company","โรงเรียนอนุบาลนานาชาติลิตเติ้ล โคอาล่า",NULL
311,"company","โรงเรียนอนุบาลนานาชาติลิตเติ้ลโคอาล่า",NULL
312,"company","โรส แมเนจเม้นท์ จำกัด",NULL
313,"company","โอเพ่น เทคโนโลยี่ จำกัด (มหาชน)",NULL
314,"company","โอภัส จำกัด",NULL
315,"company","ไซมิส พร็อพเพอร์ตี้ เซอร์วิส จำกัด",NULL
316,"company","ไดมอนด์ เอ็กซ์เพรส (ไทยแลนด์) จำกัด",NULL
317,"company","ไดมอนด์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
319,"company","ไทเทค โปรเซิร์ฟ จำกัด",NULL
320,"company","ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี จำกัด",NULL
321,"company","ไทย แอซเซ็ท พร็อพเพอร์ตี้ จำกัด",NULL
323,"company","ไทย แอสเสท กรุ๊ป จำกัด",NULL
325,"company","ไทยเอสเตท แมเนจเม้นท์ จำกัด",NULL
326,"company","ไทยแอซเซ็ท แมเนจเมนท์ จำกัด",NULL
327,"company","ไทยแอซเซ็ท แมเนจเม้นท์ จำกัด",NULL
328,"company","ไทยคันทรีโฮม หัวหิน จำกัด",NULL
329,"company","ไทยคันทรีโฮม หัวหิน จำกัด (สำนกงานใหญ่)",NULL
330,"company","ไทย-วัน พร็อพเพอร์ตี้ จำกัด",NULL
331,"company","ไทยสตาร์แลนด์ จำกัด",NULL
332,"company","ไทยสาธิตอพาร์ทเม้นท์ จำกัด",NULL
333,"company","ไนซ์ โกลบอล อินเตอร์เทรด จำกัด",NULL
334,"company","ไนท์แฟรงค์ ชาร์เตอร์ (ประเทศไทย)",NULL
335,"company","ไนท์แฟรงค์ ชาร์เตอร์ (ประเทศไทย) จำกัด",NULL
336,"company","ไนน์ พร็อพเพอร์ตี้ มาเนจเม้นท์ จำกัด",NULL
337,"company","ไบรท์ ดีเวลลอปเมนท์ กรุงเทพ จำกัด",NULL
338,"company","ไบรท์ พร็อพเพอร์ตี้ เซอร์วิส (ไทยแลนด์) จำกัด",NULL
339,"company","ไบร์ท พร็อพเพอร์ตี้ เซอร์วิสเซส (ประเทศไทย) จำกัด",NULL
340,"company","ไพร์ม เอสเตท แมเนจเม้นท์ จำกัด",NULL
341,"company","ไพรม์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด",NULL
343,"company","ไรมอน แลนด์ จำกัด (มหาชน)",NULL
344,"company","ไรมอน แลนด์ ยูนิกซ์ จำกัด",NULL
345,"company","ไลรา แมเนจเม้นท์ จำกัด",NULL
