ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
247,2026,NULL,4176,NULL,1483,NULL,NULL,5108,3,15170
248,2026,NULL,5294,NULL,820,1136,NULL,NULL,187,20881
249,2026,NULL,7119,NULL,839,226,NULL,NULL,145,2382
250,2026,NULL,6792,NULL,1332,NULL,1291,NULL,133,12834
251,2026,NULL,7282,491,788,NULL,NULL,3312,183,8647
252,2026,NULL,7181,NULL,806,NULL,491,NULL,166,8568
253,2026,NULL,6132,NULL,940,NULL,3945,NULL,52,NULL
254,2026,NULL,5066,NULL,839,NULL,2268,NULL,53,7612
255,2026,NULL,6448,NULL,1552,NULL,NULL,2023,5,20957
256,2026,NULL,7402,663,651,NULL,NULL,4627,22,18758
257,2026,NULL,2129,NULL,1329,NULL,3490,NULL,178,20881
258,2026,NULL,6273,NULL,1279,NULL,2054,NULL,NULL,45
259,2026,NULL,7569,NULL,1175,NULL,4868,NULL,NULL,17181
260,2026,NULL,2020,607,1468,NULL,NULL,1507,192,20881
261,2026,NULL,6698,NULL,1246,NULL,NULL,5681,193,NULL
262,2026,NULL,5562,NULL,796,NULL,NULL,7135,194,5934
263,2026,NULL,3372,NULL,801,NULL,3000,NULL,195,8647
264,2026,NULL,5174,NULL,788,NULL,NULL,3819,196,20881
265,2026,NULL,5669,661,847,2502,NULL,NULL,197,956
266,2026,NULL,6273,NULL,1279,NULL,NULL,3321,74,15170
267,2026,NULL,7322,NULL,811,NULL,NULL,4350,198,8647
268,2026,NULL,1469,NULL,828,NULL,NULL,7201,165,NULL
269,2026,NULL,6153,NULL,1005,NULL,3423,NULL,199,20881
270,2026,NULL,3223,NULL,847,NULL,3588,NULL,200,20881
271,2026,NULL,1543,NULL,828,NULL,4766,NULL,201,2905
272,2026,NULL,1055,774,929,NULL,2843,NULL,202,18918
273,2026,NULL,4240,NULL,847,NULL,2610,NULL,203,15170
274,2026,NULL,5486,NULL,854,1114,NULL,NULL,178,1973
275,2026,NULL,6078,NULL,1005,NULL,NULL,6690,204,20275
276,2026,NULL,1445,NULL,839,NULL,5376,NULL,42,20881
277,2026,NULL,6533,NULL,839,NULL,NULL,6029,205,17399
278,2026,NULL,5838,NULL,1332,NULL,4511,NULL,206,12834
279,2026,NULL,3237,NULL,811,NULL,3087,NULL,207,8647
280,2026,NULL,4033,NULL,820,NULL,1680,NULL,208,20881
281,2026,NULL,6212,NULL,801,NULL,3914,NULL,209,17396
282,2026,NULL,3893,NULL,854,NULL,3820,1848,210,22223
283,2026,NULL,5565,NULL,796,NULL,NULL,7151,211,20881
284,2026,NULL,6523,NULL,828,NULL,NULL,7156,212,21434
285,2026,NULL,6536,NULL,1005,NULL,66,6019,213,19104
286,2026,NULL,6212,NULL,801,NULL,3914,NULL,214,8568
287,2026,NULL,6503,436,986,NULL,4784,NULL,215,7249
288,2026,NULL,3926,NULL,1880,NULL,63,NULL,216,15170
289,2026,NULL,5131,NULL,806,NULL,1718,NULL,217,20881
290,2026,NULL,6536,NULL,1005,NULL,66,6019,218,11795
291,2026,NULL,6530,NULL,866,NULL,3654,NULL,219,14981
292,2026,NULL,6536,NULL,1005,NULL,66,6019,220,8647
293,2026,NULL,6209,NULL,1332,NULL,786,NULL,206,12834
294,2026,NULL,6536,NULL,1005,NULL,NULL,6019,221,7455
295,2026,NULL,2244,NULL,866,NULL,5489,NULL,222,20881
296,2026,NULL,5410,NULL,866,NULL,5136,NULL,31,3684
297,2026,NULL,3746,NULL,1332,NULL,NULL,588,223,6918
298,2026,NULL,7443,NULL,847,NULL,NULL,3331,224,20881
299,2026,NULL,5211,NULL,828,NULL,1305,NULL,225,15038
300,2026,NULL,6078,NULL,1005,NULL,NULL,6690,226,NULL
